model,class,precision,recall,f1_score,support
DenseNet121 Baseline,Bacterial Leaf Blight,0.9148936170212766,0.9555555555555556,0.9347826086956522,90.0
DenseNet121 Baseline,Brown Spot,0.984375,0.9402985074626866,0.9618320610687023,134.0
DenseNet121 Baseline,Healthy Rice Leaf,0.9390243902439024,0.9871794871794872,0.9625,78.0
DenseNet121 Baseline,Leaf Blast,0.9294871794871795,0.9477124183006536,0.9385113268608414,153.0
DenseNet121 Baseline,Leaf scald,0.9263157894736842,0.9361702127659575,0.9312169312169312,94.0
DenseNet121 Baseline,Narrow Brown Leaf Spot,0.9107142857142857,0.8793103448275862,0.8947368421052632,58.0
DenseNet121 Baseline,Rice Hispa,0.9905660377358491,0.9722222222222222,0.9813084112149533,108.0
DenseNet121 Baseline,Sheath Blight,0.9850746268656716,0.9705882352941176,0.9777777777777777,136.0
DenseNet121-ECA,Bacterial Leaf Blight,0.9139784946236559,0.9444444444444444,0.9289617486338798,90.0
DenseNet121-ECA,Brown Spot,0.9774436090225563,0.9701492537313433,0.9737827715355806,134.0
DenseNet121-ECA,Healthy Rice Leaf,0.9629629629629629,1.0,0.9811320754716981,78.0
DenseNet121-ECA,Leaf Blast,0.9605263157894737,0.954248366013072,0.9573770491803278,153.0
DenseNet121-ECA,Leaf scald,0.9555555555555556,0.9148936170212766,0.9347826086956522,94.0
DenseNet121-ECA,Narrow Brown Leaf Spot,0.8666666666666667,0.896551724137931,0.8813559322033898,58.0
DenseNet121-ECA,Rice Hispa,1.0,0.9814814814814815,0.9906542056074766,108.0
DenseNet121-ECA,Sheath Blight,0.9852941176470589,0.9852941176470589,0.9852941176470589,136.0
ResNet50,Bacterial Leaf Blight,0.8936170212765957,0.9333333333333333,0.9130434782608695,90.0
ResNet50,Brown Spot,0.9769230769230769,0.9477611940298507,0.9621212121212122,134.0
ResNet50,Healthy Rice Leaf,0.975,1.0,0.9873417721518988,78.0
ResNet50,Leaf Blast,0.948051948051948,0.954248366013072,0.9511400651465798,153.0
ResNet50,Leaf scald,0.9130434782608695,0.8936170212765957,0.9032258064516129,94.0
ResNet50,Narrow Brown Leaf Spot,0.8620689655172413,0.8620689655172413,0.8620689655172413,58.0
ResNet50,Rice Hispa,0.9908256880733946,1.0,0.9953917050691244,108.0
ResNet50,Sheath Blight,0.9850746268656716,0.9705882352941176,0.9777777777777777,136.0
MobileNetV3-Large,Bacterial Leaf Blight,0.9318181818181818,0.9111111111111111,0.9213483146067416,90.0
MobileNetV3-Large,Brown Spot,0.984375,0.9402985074626866,0.9618320610687023,134.0
MobileNetV3-Large,Healthy Rice Leaf,0.975,1.0,0.9873417721518988,78.0
MobileNetV3-Large,Leaf Blast,0.9483870967741935,0.9607843137254902,0.9545454545454546,153.0
MobileNetV3-Large,Leaf scald,0.9361702127659575,0.9361702127659575,0.9361702127659575,94.0
MobileNetV3-Large,Narrow Brown Leaf Spot,0.8524590163934426,0.896551724137931,0.8739495798319328,58.0
MobileNetV3-Large,Rice Hispa,0.981651376146789,0.9907407407407407,0.9861751152073732,108.0
MobileNetV3-Large,Sheath Blight,0.9705882352941176,0.9705882352941176,0.9705882352941176,136.0
EfficientNet-B0,Bacterial Leaf Blight,0.8854166666666666,0.9444444444444444,0.9139784946236559,90.0
EfficientNet-B0,Brown Spot,0.9765625,0.9328358208955224,0.9541984732824428,134.0
EfficientNet-B0,Healthy Rice Leaf,0.987012987012987,0.9743589743589743,0.9806451612903225,78.0
EfficientNet-B0,Leaf Blast,0.96,0.9411764705882353,0.9504950495049505,153.0
EfficientNet-B0,Leaf scald,0.925531914893617,0.925531914893617,0.925531914893617,94.0
EfficientNet-B0,Narrow Brown Leaf Spot,0.896551724137931,0.896551724137931,0.896551724137931,58.0
EfficientNet-B0,Rice Hispa,0.9818181818181818,1.0,0.9908256880733946,108.0
EfficientNet-B0,Sheath Blight,0.9637681159420289,0.9779411764705882,0.9708029197080292,136.0
GhostNet-timm-pretrained,Bacterial Leaf Blight,0.9213483146067416,0.9111111111111111,0.9162011173184358,90.0
GhostNet-timm-pretrained,Brown Spot,0.9765625,0.9328358208955224,0.9541984732824428,134.0
GhostNet-timm-pretrained,Healthy Rice Leaf,0.9620253164556962,0.9743589743589743,0.9681528662420382,78.0
GhostNet-timm-pretrained,Leaf Blast,0.948051948051948,0.954248366013072,0.9511400651465798,153.0
GhostNet-timm-pretrained,Leaf scald,0.9052631578947369,0.9148936170212766,0.91005291005291,94.0
GhostNet-timm-pretrained,Narrow Brown Leaf Spot,0.8833333333333333,0.9137931034482759,0.8983050847457628,58.0
GhostNet-timm-pretrained,Rice Hispa,0.9814814814814815,0.9814814814814815,0.9814814814814815,108.0
GhostNet-timm-pretrained,Sheath Blight,0.9565217391304348,0.9705882352941176,0.9635036496350365,136.0
